date,ITUB4.SA,MGLU3.SA,PETR4.SA,VALE3.SA,TITULO_CDI
2014-06-23,8.2806,2.421,4.6281,12.5838,113.208693548555
2014-06-24,8.2955,2.4615,4.4612,12.4109,113.25477514726394
2014-06-25,8.0321,2.3804,4.3726,12.3893,113.30087550348765
2014-06-26,8.0048,2.4615,4.3802,12.6833,113.34699462486132
2014-06-27,7.9799,2.4345,4.3499,12.5622,113.39313251902337
2014-06-30,7.9451,2.4859,4.3726,12.64,113.43928919361524
2014-07-01,7.9762,2.5427,4.3474,12.8173,113.4854646562815
2014-07-02,7.8469,2.5454,4.3297,13.1588,113.53165891466983
2014-07-03,7.9041,2.6346,4.4258,13.4181,113.57787197643103
2014-07-04,7.8991,2.613,4.4258,13.496,113.62410384921904
2014-07-07,7.9314,2.5968,4.3701,13.3144,113.67035454069085
2014-07-08,7.8892,2.5481,4.3828,13.3187,113.71662405850664
2014-07-10,8.2547,2.5427,4.58,13.3144,113.80921960382628
2014-07-11,8.2472,2.5589,4.623,13.2712,113.85554564666603
2014-07-14,8.4362,2.5427,4.8304,13.3403,113.90189054652149
2014-07-15,8.5381,2.4832,4.8709,13.4268,113.94825431106845
2014-07-16,8.3168,2.4751,4.8835,13.7986,113.99463694798577
2014-07-17,8.3293,2.4561,4.9467,13.6084,114.04103846495543
2014-07-18,8.737,2.3966,5.1895,13.5954,114.08745886966258
2014-07-21,8.8116,2.4453,5.2856,13.6429,114.13389816979547
2014-07-22,8.7942,2.4345,5.3236,13.7769,114.18035637304548
2014-07-23,8.7967,2.448,5.1238,13.7164,114.22683348710714
2014-07-24,8.926,2.4669,5.1364,13.9801,114.27332951967806
2014-07-25,8.8887,2.4615,5.1819,13.9974,114.31984447845905
2014-07-28,8.829,2.4507,5.0959,14.1876,114.366378371154
2014-07-29,8.8688,2.4074,4.9619,14.2308,114.41293120546999
2014-07-30,8.9111,2.3398,5.0201,13.9282,114.45950298911715
2014-07-31,8.7271,2.421,4.8304,14.0709,114.50609372980887
2014-08-01,8.6935,2.4318,4.8076,13.7337,114.55270343526158
2014-08-04,8.8228,2.3966,4.9189,13.8937,114.59937335216814
2014-08-05,8.9422,2.4128,4.9821,13.6689,114.64606228286556
2014-08-06,8.9049,2.3533,5.1364,13.7467,114.69277023510023
2014-08-07,8.8253,2.3533,5.0959,13.6602,114.73949721662171
2014-08-08,8.7059,2.3506,4.8835,13.6645,114.78624323518274
2014-08-11,8.8651,2.4074,5.0934,13.764,114.83300829853917
