alert_drawdown,severe_drawdown,alert_volatility,severe_volatility,alert_equity_cap,severe_equity_cap,recovery_days,cost_bps,volatility_window,peak_window,train_cagr,train_max_drawdown,train_score,holdout_cumulative_return,holdout_cagr,holdout_annual_volatility,holdout_sharpe_excess_cdi,holdout_max_drawdown,holdout_overlay_turnover
0.08,0.18,0.25,0.45,0.55,0.2,10,10.0,20,126,0.15591127991355203,-0.28013170744658433,0.08587835305190594,1.9442605112283302,0.16680049551340126,0.16479990617008464,0.5054725977581896,-0.2082848526136981,8.899999999999999
0.08,0.18,0.25,0.45,0.55,0.2,20,10.0,20,126,0.14164765829090786,-0.2785636945015948,0.07200673466550916,2.0458816945241582,0.17247033021814362,0.15850955162896793,0.550246278472601,-0.20828485261369856,6.90000000007836
0.08,0.18,0.25,0.45,0.55,0.25,5,10.0,20,126,0.15186910501797524,-0.27233452751532283,0.08378547313914453,1.9408975743451182,0.16661001360262673,0.17020902158146156,0.49373279132340336,-0.22585769407312029,11.199999999999996
0.08,0.18,0.25,0.45,0.55,0.25,10,10.0,20,126,0.15448192166594366,-0.2780681817525664,0.08496487622780205,1.941918530854803,0.16666786187550198,0.16686034173851014,0.5006079239193535,-0.2258576940731204,8.599999999999998
0.08,0.18,0.25,0.45,0.55,0.25,20,10.0,20,126,0.14131491537136087,-0.27670782856299947,0.072137958230611,2.0310182661299394,0.17165126241980388,0.16073407568648482,0.5404419687352018,-0.22585769407312062,6.60000000007836
0.08,0.18,0.25,0.45,0.55,0.35,5,10.0,20,126,0.14972157114131557,-0.27010847827201756,0.08219445157331118,1.9139243733837543,0.16507541879243326,0.17533906533402036,0.4767955025351699,-0.26062628650260056,10.399999999999997
0.08,0.18,0.25,0.45,0.55,0.35,10,10.0,20,126,0.15155385804684873,-0.27394536334187736,0.0830675172113794,1.9325047089087923,0.16613381314248277,0.1722326101067916,0.48766226509869415,-0.2606262865026008,7.999999999999998
0.08,0.18,0.25,0.45,0.55,0.35,20,10.0,20,126,0.1405495871854776,-0.27301660284939866,0.07229543647312794,1.9964848102888397,0.16973487964233325,0.16651880986891693,0.5174430658997494,-0.2606262865026009,6.00000000007836
0.08,0.18,0.25,0.45,0.65,0.2,5,10.0,20,126,0.16717197456787458,-0.29309862191939795,0.0938973190880251,2.0735954814253037,0.17398842660827185,0.17355507350842783,0.5244255702381311,-0.2161774033554945,9.799999999999999
0.08,0.18,0.25,0.45,0.65,0.2,10,10.0,20,126,0.17002544835043243,-0.30143537096457285,0.09466660560928922,2.0231422131377457,0.17121584624697683,0.1705060598745062,0.5166715367902126,-0.21617740335549473,7.6999999999999975
0.08,0.18,0.25,0.45,0.65,0.2,20,10.0,20,126,0.15524034327571812,-0.29944179131040516,0.08037989544811683,2.1707428933898893,0.17921890348385228,0.16538102706685834,0.5693588653299725,-0.21617740335549462,6.200000000078361
0.08,0.18,0.25,0.45,0.65,0.25,5,10.0,20,126,0.16611691179477894,-0.2920084176477037,0.09311480738285302,2.0618688622562376,0.17334750766193596,0.17546148617853952,0.5174829732730692,-0.2335756910943042,9.399999999999997
0.08,0.18,0.25,0.45,0.65,0.25,10,10.0,20,126,0.16857858801755254,-0.2994329560549478,0.0937203490038156,2.0207346186653843,0.17108255183713772,0.17249907877239987,0.5120346052877266,-0.2335756910943041,7.399999999999999
0.08,0.18,0.25,0.45,0.65,0.25,20,10.0,20,126,0.1549036060957345,-0.29763967893659615,0.08049368636158546,2.15526780701839,0.17839499561389172,0.16751498222749808,0.560006141500085,-0.23357569109430398,5.900000000078361
0.08,0.18,0.25,0.45,0.65,0.35,5,10.0,20,126,0.16394263910132167,-0.2898427856369298,0.09148194269208923,2.033780678825835,0.17180374869752058,0.1804436702618428,0.5007753501086168,-0.2679988796612104,8.599999999999998
0.08,0.18,0.25,0.45,0.65,0.35,10,10.0,20,126,0.1656146737102433,-0.2954322350252274,0.09175661495393644,2.0110627534812395,0.170546157913664,0.1777023714540151,0.49963019483951,-0.26799887966121083,6.799999999999999
0.08,0.18,0.25,0.45,0.65,0.35,20,10.0,20,126,0.1541291005754839,-0.29405536795147513,0.08061525858761512,2.119313950442479,0.17646732495905249,0.17307449344050274,0.5379547691642083,-0.2679988796612104,5.300000000078361
0.08,0.18,0.3,0.5,0.5,0.2,5,10.0,20,126,0.16615270769414892,-0.26348362424730576,0.10028180163232248,1.8750862499225098,0.16284426130513485,0.16620894598754055,0.4817680355970403,-0.20433640344465942,13.5
0.08,0.18,0.3,0.5,0.5,0.2,10,10.0,20,126,0.15412018992137155,-0.26929026634743325,0.08679762333451324,1.9433828054374604,0.16675079890089783,0.16429902000332375,0.5062240108783431,-0.20433640344465942,10.4
0.08,0.18,0.3,0.5,0.5,0.2,20,10.0,20,126,0.13402462670005932,-0.2679390200104267,0.06703987169745265,1.9704677321195354,0.1682785570167078,0.15734079565012674,0.5299812231410269,-0.2043364034446593,8.1
0.08,0.18,0.3,0.5,0.5,0.25,5,10.0,20,126,0.1650986843742237,-0.26234756666454107,0.09951179270808844,1.8641207816407097,0.1622096456288853,0.16819750525894395,0.4747727255402921,-0.221996565314726,13.099999999999998
0.08,0.18,0.3,0.5,0.5,0.25,10,10.0,20,126,0.15269305672477285,-0.26719564074369806,0.08589414653884833,1.9410429197464842,0.16661825004866904,0.16636526927536607,0.5013177634512436,-0.2219965653147259,10.099999999999998
