decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2024-01-02,SARE11.SA,SARE11,fii,FII SANT REN,CI  ER,BRSARECTF006,2024-01-02,48.0,1384046.4235,60,1961,17715,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,GSFI11.SA,GSFI11,fii,FII GENERAL,CI,BRGSFICTF009,2024-01-02,7.9,1360795.361,60,243,3039,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,GGRC11.SA,GGRC11,fii,FII GGRCOVEP,CI,BRGGRCCTF002,2024-01-02,113.51,1344755.7615,60,2156,19881,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,TEPP11.SA,TEPP11,fii,FII TEL PROP,CI  ER,BRTEPPCTF006,2024-01-02,92.17,1320972.753,60,1506,5906,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,KORE11.SA,KORE11,fii,FII KORE,CI  ER,BRKORECTF012,2024-01-02,106.25,1288338.2780000002,15,361,4718,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,HTMX11.SA,HTMX11,fii,FII HOTEL MX,CI  ER,BRHTMXCTF000,2024-01-02,192.14,1287669.7648333334,60,2344,10877,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,RCRB11.SA,RCRB11,fii,FII RIOB RC,CI,BRRCRBCTF000,2024-01-02,159.59,1259350.417,60,772,3470,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,TVRI11.SA,TVRI11,fii,FII TIVIO RI,CI  ER,BRTVRICTF001,2024-01-02,96.9,1233880.7233333334,60,945,6431,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,RBRP11.SA,RBRP11,fii,FII RBR PROP,CI,BRRBRPCTF002,2024-01-02,54.99,1226800.3171666667,60,7816,33576,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,KNHF11.SA,KNHF11,fii,FII KINEA HF,CI  ER,BRKNHFCTF004,2024-01-02,104.6,1211191.2643333334,60,144,5427,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,JSAF11.SA,JSAF11,fii,FII JS A FIN,CI  ER,BRJSAFCTF000,2024-01-02,102.15,1168396.4604999998,60,401,3130,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,MCHF11.SA,MCHF11,fii,FII MAUA HF,CI,BRMCHFCTF003,2024-01-02,9.02,1161678.3801666668,60,4408,89066,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,KFOF11.SA,KFOF11,fii,FII KINEAFOF,CI  ER,BRKFOFCTF006,2024-01-02,99.3,1140425.1876666667,60,1277,7870,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,RBVA11.SA,RBVA11,fii,FII RIOB VA,CI  ER,BRRBVACTF006,2024-01-02,113.0,1134546.7010000001,60,1224,7628,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,MORC11.SA,MORC11,fii,FII MORE CRI,CI  ER,BRMORCCTF004,2024-01-02,88.49,1132397.5368333333,60,383,5138,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,VINO11.SA,VINO11,fii,FII VINCI OF,CI  ER,BRVINOCTF001,2024-01-02,7.57,1128080.7786666667,60,6922,183978,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,GTWR11.SA,GTWR11,fii,FII G TOWERS,CI  ER,BRGTWRCTF003,2024-01-02,86.26,1106067.3451666667,60,1893,13759,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,AFHI11.SA,AFHI11,fii,FII AFHI CRI,CI,BRAFHICTF005,2024-01-02,99.76,1091705.5561666666,60,623,5677,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,RZAT11.SA,RZAT11,fii,FII ARCTIUM,CI,BRRZATCTF009,2024-01-02,93.95,1067024.7325000002,60,1007,6338,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,SNEL11.SA,SNEL11,fii,FII SUNO EL,CI,BRSNELCTF010,2024-01-02,125.96,1014902.6658333334,12,405,1749,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,BTAL11.SA,BTAL11,fii,FII BTG AGRO,CI  ER,BRBTALCTF003,2024-01-02,79.74,1002925.7293333333,60,3342,11658,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,AAZQ11.SA,AAZQ11,fii,FIAGRO AAZQ,CI  ER,BRAAZQCTF001,2024-01-02,8.91,957452.9203333333,60,5900,132519,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,EGAF11.SA,EGAF11,fii,FIAGRO ECO,CI,BREGAFCTF006,2024-01-02,99.25,946203.3829999999,60,1166,13642,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,BARI11.SA,BARI11,fii,FII BARIGUI,CI  ER,BRBARICTF003,2024-01-02,83.24,935296.9965,60,717,7574,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,HGFF11.SA,HGFF11,fii,FII CSHG FOF,CI  ER,BRHGFFCTF008,2024-01-02,87.9,931783.8233333334,60,949,4801,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,VCRA11.SA,VCRA11,fii,FIAGRO VCRA,CI  ER,BRVCRACTF004,2024-01-02,94.0,906691.5523333333,60,304,3619,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,KISU11.SA,KISU11,fii,FII KILIMA,CI  ER,BRKISUCTF000,2024-01-02,8.58,902581.273,60,4482,108504,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,AJFI11.SA,AJFI11,fii,FII AJ MALLS,CI,BRAJFICTF001,2024-01-02,9.68,896753.5397142858,35,5123,150514,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,XPIN11.SA,XPIN11,fii,FII XP INDL,CI,BRXPINCTF004,2024-01-02,80.09,838750.2616666667,60,2357,20373,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,RBRL11.SA,RBRL11,fii,FII RBR LOG,CI,BRRBRLCTF001,2024-01-02,88.55,826210.9511666667,60,2106,9533,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,HSLG11.SA,HSLG11,fii,FII HSI LOG,CI  ER,BRHSLGCTF009,2024-01-02,96.42,783929.4653333334,60,3299,13988,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,NEWL11.SA,NEWL11,fii,FII NEWPORT,CI  ER,BRNEWLCTF004,2024-01-02,113.49,781726.0051666667,60,102,572,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,TRBL11.SA,TRBL11,fii,FII SDI LOG,CI  ER,BRTRBLCTF007,2024-01-02,98.15,743032.6018333334,60,2078,8335,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,MORE11.SA,MORE11,fii,FII MORE RE,CI,BRMORECTF000,2024-01-02,75.39,740795.3848333333,60,467,7149,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
