name,train_signal,train_equity_cap,train_alpha_strength,train_split,train_years,train_cagr,train_cdi_cagr,train_neutral_mvo_cagr,train_excess_cdi,train_excess_mvo,train_hit_both,train_worst_year,train_max_drawdown,train_average_turnover,holdout_signal,holdout_equity_cap,holdout_alpha_strength,holdout_split,holdout_years,holdout_cagr,holdout_cdi_cagr,holdout_neutral_mvo_cagr,holdout_excess_cdi,holdout_excess_mvo,holdout_hit_both,holdout_worst_year,holdout_max_drawdown,holdout_average_turnover,train_score
low_volatility_eq55_tilt00,low_volatility,0.55,0.0,train,6,0.17365505427977435,0.0860290624962976,0.354193621750285,0.08762599178347674,-0.18053856747051067,0.16666666666666666,0.05326401115329328,0.0,0.332965732067032,low_volatility,0.55,0.0,holdout,5,0.09570722271335241,0.1087137638826996,0.1648558386754071,-0.013006541169347186,-0.06914861596205468,0.2,-0.04261376554329122,0.0,0.3247952778085505,-0.10290154764904488
low_volatility_eq55_tilt50,low_volatility,0.55,0.5,train,6,0.17365505409253856,0.0860290624962976,0.354193621750285,0.08762599159624096,-0.18053856765774645,0.16666666666666666,0.05326401115329328,0.0,0.332965731816141,low_volatility,0.55,0.5,holdout,5,0.0964162910586972,0.1087137638826996,0.1648558386754071,-0.012297472824002398,-0.0684395476167099,0.2,-0.039449195032544994,0.0,0.35033838764165226,-0.10290154801598972
low_volatility_eq55_tilt25,low_volatility,0.55,0.25,train,6,0.17365505407994686,0.0860290624962976,0.354193621750285,0.08762599158364925,-0.18053856767033816,0.16666666666666666,0.05326401115329328,0.0,0.3329657318379622,low_volatility,0.55,0.25,holdout,5,0.0964182048103186,0.1087137638826996,0.1648558386754071,-0.012295559072381002,-0.0684376338650885,0.2,-0.039449198584684285,0.0,0.350163100843952,-0.10290154804182777
low_volatility_eq75_tilt00,low_volatility,0.75,0.0,train,6,0.1736550526319065,0.0860290624962976,0.3924658150085074,0.0876259901356089,-0.2188107623766009,0.16666666666666666,0.053264011147432934,0.0,0.3329657314578565,low_volatility,0.75,0.0,holdout,5,0.0957072296049355,0.1087137638826996,0.15361914418313716,-0.013006534277764104,-0.05791191457820166,0.2,-0.04261373492051235,0.0,0.32479552501060255,-0.1411737441847277
low_volatility_eq75_tilt50,low_volatility,0.75,0.5,train,6,0.17365505255823588,0.0860290624962976,0.3924658150085074,0.08762599006193827,-0.21881076245027153,0.16666666666666666,0.053264011147432934,0.0,0.3329657313892473,low_volatility,0.75,0.5,holdout,5,0.09641735980588151,0.1087137638826996,0.15361914418313716,-0.01229640407681809,-0.05720178437725565,0.2,-0.03944919504716257,0.0,0.3502289238339578,-0.14117374433001068
low_volatility_eq75_tilt25,low_volatility,0.75,0.25,train,6,0.17365505230760592,0.0860290624962976,0.3924658150085074,0.08762598981130831,-0.2188107627009015,0.16666666666666666,0.053264011147432934,0.0,0.33296573117349815,low_volatility,0.75,0.25,holdout,5,0.09641820480224172,0.1087137638826996,0.15361914418313716,-0.012295559080457874,-0.05720093938089543,0.2,-0.039449198905799475,0.0,0.3501631093190052,-0.14117374482479814
low_volatility_eq100_tilt50,low_volatility,1.0,0.5,train,6,0.17365506272431208,0.0860290624962976,0.4383343057798117,0.08762600022801448,-0.2646792430554996,0.16666666666666666,0.05326401114130878,0.0,0.3329657371118316,low_volatility,1.0,0.5,holdout,5,0.096417900584568,0.1087137638826996,0.1557701011392323,-0.012295863298131593,-0.05935220055466428,0.2,-0.0394491950700922,0.0,0.3501800603881121,-0.18704221494084008
low_volatility_eq100_tilt25,low_volatility,1.0,0.25,train,6,0.17365505666228032,0.0860290624962976,0.4383343057798117,0.08762599416598271,-0.2646792491175314,0.16666666666666666,0.05326401114130878,0.0,0.3329657334882173,low_volatility,1.0,0.25,holdout,5,0.09641820558015413,0.1087137638826996,0.1557701011392323,-0.012295558302545473,-0.05935189555907816,0.2,-0.039449198117081814,0.0,0.35016307767946736,-0.18704222695619518
low_volatility_eq100_tilt00,low_volatility,1.0,0.0,train,6,0.17365505336516573,0.0860290624962976,0.4383343057798117,0.08762599086886813,-0.26467925241464596,0.16666666666666666,0.05326401114130878,0.0,0.3329657316335337,low_volatility,1.0,0.0,holdout,5,0.0957072295085788,0.1087137638826996,0.1557701011392323,-0.013006534374120804,-0.06006287163065349,0.2,-0.04261373501620056,0.0,0.3247955244613524,-0.18704223349478383
short_reversal_eq55_tilt50,short_reversal,0.55,0.5,train,6,0.06867247836600487,0.0860290624962976,0.354193621750285,-0.01735658413029273,-0.28552114338428014,0.0,-0.06931119587718404,-0.06931119587718404,0.562004513032281,short_reversal,0.55,0.5,holdout,5,0.16097880230666073,0.1087137638826996,0.1648558386754071,0.05226503842396113,-0.003877036368746367,0.2,-0.0719857238735283,-0.0719857238735283,0.621405473757686,-0.3197378629055413
short_reversal_eq55_tilt25,short_reversal,0.55,0.25,train,6,0.06846695941835002,0.0860290624962976,0.354193621750285,-0.01756210307794759,-0.285726662331935,0.0,-0.06931119542168222,-0.06931119542168218,0.5677498839752867,short_reversal,0.55,0.25,holdout,5,0.16387640628244737,0.1087137638826996,0.1648558386754071,0.055162642399747774,-0.0009794323929597226,0.2,-0.06036972868319519,-0.060369728683195234,0.6091887057495025,-0.3203212619291412
short_reversal_eq55_tilt00,short_reversal,0.55,0.0,train,6,0.06823022688238156,0.0860290624962976,0.354193621750285,-0.017798835613916042,-0.28596339486790345,0.0,-0.06931119469486706,-0.06931119469486713,0.5734851784686698,short_reversal,0.55,0.0,holdout,5,0.16675875404445595,0.1087137638826996,0.1648558386754071,0.05804499016175635,0.001902915369048852,0.2,-0.0486994431968513,-0.048699443196851266,0.5970647447211517,-0.32096678583587956
short_reversal_eq75_tilt50,short_reversal,0.75,0.5,train,6,0.07471772313252911,0.0860290624962976,0.3924658150085074,-0.011311339363768491,-0.3177480918759783,0.0,-0.06931119926353653,-0.06931119926353668,0.5920045105073682,short_reversal,0.75,0.5,holdout,5,0.15053147638527387,0.1087137638826996,0.15361914418313716,0.04181771250257427,-0.0030876677978632916,0.2,-0.07198573149710248,-0.07198573149710252,0.6526835648970964,-0.3468195665549678
short_reversal_eq75_tilt25,short_reversal,0.75,0.25,train,6,0.07451111096706042,0.0860290624962976,0.3924658150085074,-0.01151795152923718,-0.317954704041447,0.0,-0.06931119936561309,-0.06931119936561303,0.5977498817780463,short_reversal,0.75,0.25,holdout,5,0.15380958353484853,0.1087137638826996,0.15361914418313716,0.04509581965214893,0.00019043935171136894,0.2,-0.060369647445462915,-0.060369647445462915,0.6448289819301861,-0.34740515202402555
short_reversal_eq75_tilt00,short_reversal,0.75,0.0,train,6,0.07427310227516148,0.0860290624962976,0.3924658150085074,-0.01175596022113612,-0.31819271273334593,0.0,-0.06931119926191012,-0.06931119926190998,0.6034851757660508,short_reversal,0.75,0.0,holdout,5,0.15706772774942612,0.1087137638826996,0.15361914418313716,0.048353963866726524,0.0034485835662889652,0.2,-0.048699465963331794,-0.048699465963331745,0.637066781727412,-0.34805322822746354
short_reversal_eq100_tilt50,short_reversal,1.0,0.5,train,6,0.07471772550874789,0.0860290624962976,0.4383343057798117,-0.011311336987549714,-0.3636165802710638,0.0,-0.0693111990181157,-0.06931119901811578,0.5920045073481331,short_reversal,1.0,0.5,holdout,5,0.15053147612083317,0.1087137638826996,0.1557701011392323,0.041817712238133575,-0.005238625018399112,0.2,-0.07198572913955333,-0.07198572913955337,0.6526835580326108,-0.3926880524790575
short_reversal_eq100_tilt25,short_reversal,1.0,0.25,train,6,0.07451111108858788,0.0860290624962976,0.4383343057798117,-0.011517951407709726,-0.3638231946912238,0.0,-0.0693111992521305,-0.06931119925213036,0.5977498834100526,short_reversal,1.0,0.25,holdout,5,0.15380958215123108,0.1087137638826996,0.1557701011392323,0.045095818268531485,-0.001960518988001203,0.2,-0.060369644751375864,-0.06036964475137585,0.6448289611459986,-0.3932736426012351
short_reversal_eq100_tilt00,short_reversal,1.0,0.0,train,6,0.07427310230428819,0.0860290624962976,0.4383343057798117,-0.011755960192009418,-0.3640612034755235,0.0,-0.06931119924008282,-0.06931119924008289,0.6034851757301191,short_reversal,1.0,0.0,holdout,5,0.1570677278386765,0.1087137638826996,0.1557701011392323,0.04835396395597691,0.001297626699444221,0.2,-0.048699466428850424,-0.04869946642885048,0.6370667878968695,-0.3939217189394365
